Time,Category,number
06,VEHICLE THEFT,34
16,MISSING PERSON,71
12,RECOVERED VEHICLE,11
20,BURGLARY,69
06,LARCENY/THEFT,110
10,STOLEN PROPERTY,10
17,DRUG/NARCOTIC,59
20,WEAPON LAWS,28
06,STOLEN PROPERTY,4
20,RUNAWAY,2
03,RECOVERED VEHICLE,2
18,RECOVERED VEHICLE,8
18,TRESPASS,13
16,DRIVING UNDER THE INFLUENCE,4
16,VEHICLE THEFT,91
19,BURGLARY,87
21,WARRANTS,53
12,KIDNAPPING,3
10,DRUNKENNESS,3
14,"SEX OFFENSES, FORCIBLE",6
04,SUICIDE,1
14,ROBBERY,32
01,VEHICLE THEFT,40
05,DRUG/NARCOTIC,7
20,OTHER OFFENSES,204
20,SECONDARY CODES,23
23,STOLEN PROPERTY,5
00,DRUNKENNESS,7
10,DISORDERLY CONDUCT,11
08,NON-CRIMINAL,176
13,WARRANTS,74
04,MISSING PERSON,2
21,DRUG/NARCOTIC,32
01,OTHER OFFENSES,141
02,KIDNAPPING,2
21,SUSPICIOUS OCC,55
00,EXTORTION,3
05,SUICIDE,1
16,ARSON,2
00,SUSPICIOUS OCC,73
04,KIDNAPPING,3
08,RUNAWAY,1
15,KIDNAPPING,4
17,VANDALISM,156
11,SUICIDE,1
23,PROSTITUTION,10
10,NON-CRIMINAL,243
15,EXTORTION,1
05,WEAPON LAWS,4
20,"SEX OFFENSES, FORCIBLE",13
08,WEAPON LAWS,9
07,ARSON,4
08,KIDNAPPING,1
19,LARCENY/THEFT,747
20,PROSTITUTION,13
23,LIQUOR LAWS,7
14,MISSING PERSON,62
08,LARCENY/THEFT,273
00,VANDALISM,89
08,DISORDERLY CONDUCT,14
06,VANDALISM,45
15,DRUNKENNESS,6
22,TRESPASS,11
04,FORGERY/COUNTERFEITING,2
14,SUSPICIOUS OCC,65
23,DRIVING UNDER THE INFLUENCE,15
03,ROBBERY,31
20,BRIBERY,2
11,ASSAULT,130
10,LIQUOR LAWS,1
12,EMBEZZLEMENT,3
09,DRIVING UNDER THE INFLUENCE,1
10,EXTORTION,2
18,MISSING PERSON,50
05,KIDNAPPING,3
16,LARCENY/THEFT,602
12,VEHICLE THEFT,58
02,STOLEN PROPERTY,6
03,VEHICLE THEFT,21
10,TRESPASS,28
22,EMBEZZLEMENT,1
12,ASSAULT,164
00,ROBBERY,49
21,LARCENY/THEFT,582
09,LARCENY/THEFT,339
02,PROSTITUTION,5
04,STOLEN PROPERTY,5
01,DISORDERLY CONDUCT,5
17,"SEX OFFENSES, NON FORCIBLE",1
05,DRIVING UNDER THE INFLUENCE,2
05,DRUNKENNESS,3
03,VANDALISM,47
20,RECOVERED VEHICLE,2
01,VANDALISM,79
06,SECONDARY CODES,8
15,DISORDERLY CONDUCT,4
02,ASSAULT,124
02,ARSON,4
01,DRUG/NARCOTIC,19
01,RUNAWAY,2
09,VEHICLE THEFT,57
09,DRUG/NARCOTIC,43
12,WEAPON LAWS,17
02,FRAUD,7
21,WEAPON LAWS,23
02,DRUNKENNESS,8
18,DRUNKENNESS,9
00,DRIVING UNDER THE INFLUENCE,12
01,SUSPICIOUS OCC,34
19,EXTORTION,1
12,EXTORTION,2
01,TRESPASS,7
18,ARSON,1
17,LOITERING,1
00,SECONDARY CODES,29
15,PROSTITUTION,6
02,DISORDERLY CONDUCT,4
01,NON-CRIMINAL,85
17,SECONDARY CODES,18
08,"SEX OFFENSES, FORCIBLE",6
19,VANDALISM,157
12,DRIVING UNDER THE INFLUENCE,1
14,LIQUOR LAWS,2
12,DRUNKENNESS,1
21,PROSTITUTION,1
14,STOLEN PROPERTY,8
15,MISSING PERSON,61
10,WARRANTS,56
00,WEAPON LAWS,25
07,RUNAWAY,1
19,VEHICLE THEFT,106
18,STOLEN PROPERTY,24
08,VEHICLE THEFT,60
11,SUSPICIOUS OCC,77
22,"SEX OFFENSES, NON FORCIBLE",1
19,MISSING PERSON,44
19,KIDNAPPING,2
14,WARRANTS,70
06,RECOVERED VEHICLE,3
12,ROBBERY,31
15,ASSAULT,194
21,"SEX OFFENSES, FORCIBLE",8
15,"SEX OFFENSES, NON FORCIBLE",3
02,BRIBERY,1
14,PROSTITUTION,8
21,STOLEN PROPERTY,11
03,LARCENY/THEFT,108
22,OTHER OFFENSES,189
18,FORGERY/COUNTERFEITING,11
14,TRESPASS,22
08,RECOVERED VEHICLE,11
22,SUSPICIOUS OCC,68
03,ASSAULT,69
08,BURGLARY,52
09,DISORDERLY CONDUCT,18
04,DISORDERLY CONDUCT,4
07,OTHER OFFENSES,144
19,LIQUOR LAWS,2
21,EMBEZZLEMENT,1
