PdDistrict,Catogory,number
MISSION,NON-CRIMINAL,566
RICHMOND,WEAPON LAWS,17
SOUTHERN,NON-CRIMINAL,831
PARK,ARSON,4
BAYVIEW,FORGERY/COUNTERFEITING,5
INGLESIDE,GAMBLING,4
SOUTHERN,ASSAULT,645
RICHMOND,DISORDERLY CONDUCT,1
MISSION,"SEX OFFENSES, FORCIBLE",36
RICHMOND,LARCENY/THEFT,838
RICHMOND,SECONDARY CODES,34
TENDERLOIN,LARCENY/THEFT,426
MISSION,MISSING PERSON,136
TARAVAL,LIQUOR LAWS,2
NORTHERN,STOLEN PROPERTY,25
MISSION,LARCENY/THEFT,1283
PARK,FRAUD,33
INGLESIDE,"SEX OFFENSES, FORCIBLE",18
RICHMOND,TRESPASS,11
CENTRAL,WARRANTS,96
TENDERLOIN,TRESPASS,40
NORTHERN,SECONDARY CODES,52
SOUTHERN,PROSTITUTION,104
MISSION,FRAUD,63
MISSION,PROSTITUTION,14
SOUTHERN,MISSING PERSON,139
BAYVIEW,DISORDERLY CONDUCT,10
INGLESIDE,ROBBERY,66
CENTRAL,PROSTITUTION,9
NORTHERN,RUNAWAY,2
TENDERLOIN,DISORDERLY CONDUCT,35
BAYVIEW,"SEX OFFENSES, NON FORCIBLE",1
INGLESIDE,WEAPON LAWS,38
NORTHERN,ROBBERY,107
BAYVIEW,VANDALISM,263
PARK,VANDALISM,124
TENDERLOIN,VANDALISM,77
NORTHERN,WEAPON LAWS,30
CENTRAL,EXTORTION,1
INGLESIDE,VEHICLE THEFT,221
TARAVAL,VANDALISM,171
CENTRAL,NON-CRIMINAL,548
RICHMOND,DRIVING UNDER THE INFLUENCE,9
INGLESIDE,ARSON,6
BAYVIEW,EMBEZZLEMENT,1
PARK,DISORDERLY CONDUCT,4
SOUTHERN,RECOVERED VEHICLE,26
MISSION,DRUNKENNESS,20
MISSION,RECOVERED VEHICLE,10
INGLESIDE,EXTORTION,3
TARAVAL,FAMILY OFFENSES,2
BAYVIEW,KIDNAPPING,18
BAYVIEW,ARSON,13
RICHMOND,MISSING PERSON,89
PARK,WARRANTS,76
INGLESIDE,BURGLARY,110
RICHMOND,BURGLARY,81
NORTHERN,FORGERY/COUNTERFEITING,13
RICHMOND,ASSAULT,123
SOUTHERN,SUICIDE,1
NORTHERN,"SEX OFFENSES, NON FORCIBLE",1
MISSION,RUNAWAY,2
BAYVIEW,SUSPICIOUS OCC,157
SOUTHERN,LOITERING,2
INGLESIDE,LIQUOR LAWS,3
INGLESIDE,DRIVING UNDER THE INFLUENCE,6
RICHMOND,LIQUOR LAWS,3
INGLESIDE,DRUNKENNESS,3
MISSION,LIQUOR LAWS,5
TENDERLOIN,PROSTITUTION,1
